full_name,unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,ASTURIAS,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Piso,Asturias,2021,50% pleno dominio compraventa,,,,,,,,,,,,,,,,,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Plaza de garaje,Asturias,2021,50% pleno dominio compraventa,,,,,,,,,,,,,,,,,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,bienes patrimoniales,,,,,,Bienes de naturaleza urbana,Trastero,Asturias,2010,50% pleno dominio compraventa,,,,,,,,,,,,,,,,,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,deposits,,,,,,,,,,,Saldo de todos los depósitos,"53,985,68",53985.68,,,,,,,,,,,,,,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo Hipotecario BBVA,44547,180000,180000,180000,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo Hipotecario BBVA,44547,180000,48650,48650,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,otros,,,,,,,,,,,,,,,,,,,,Micreocrédito al PSOE,1000,,,,,,
ADRIANA LASTRA FERNANDEZ,AdrianaLastraFernandez,ADRIANA LASTRA FERNANDEZ,,otros,,,,,,,,,,,,,,,,,,,,Micreocrédito al PSOE,1000,,,,,,
ADRIANA LASTRA FERNÁNDEZ ,AdrianaLastraFernández ,ADRIANA LASTRA FERNÁNDEZ ,ASTURIAS,cantidad pagada por irpf,,,,,20762.83,,,,,,,,,,,,,,,,,,,,,,
AITOR ESTEBAN BRAVO,AitorEstebanBravo,AITOR ESTEBAN BRAVO,BIZKAIA,Observaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,Con respecto a su ultima declaración de fecha 21 nov 2019 hay que suprimir la referencia al vechiculo Chrysler Voyager con fecha de adquisición 20 oct 2008
AITOR ESTEBAN BRAVO,AitorEstebanBravo,AITOR ESTEBAN BRAVO,,vehiculos,,,,,,,,,,,,,,,,,,2021,Skoda KAROQ,,,,,,,,
AITOR ESTEBAN BRAVO ,AitorEstebanBravo ,AITOR ESTEBAN BRAVO ,,cantidad pagada por irpf,,,,,28168.68,,,,,,,,,,,,,,,,,,,,,,
ALBERT BOTRAN PAHISSA,AlbertBotranPahissa,ALBERT BOTRAN PAHISSA,BARCELONA,cantidad pagada por irpf,,,,,534.39,,,,,,,,,,,,,,,,,,,,,,
ALBERT BOTRAN PAHISSA,AlbertBotranPahissa,ALBERT BOTRAN PAHISSA,,dueda,,,,,,,,,,,,,,,,,,,,,,Prestamo hipotecario concedido por Caixa dÉnginyers,44280,6000,5323,5323,
ALBERT BOTRAN PAHISSA,AlbertBotranPahissa,ALBERT BOTRAN PAHISSA,,vehiculos,,,,,,,,,,,,,,,,,,2021,Volkswagen Touran,,,,,,,,
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,SEVILLA,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda y plaza de aparcamiento,Sevilla,2002,Compraventa 50%,,,,,,,,,,,,,,,,,
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Piso,Sevilla,2001,Compraventa 50%,,,,,,,,,,,,,,,,,
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,bienes patrimoniales,,,,,,Bienes inmuebles de naturaleza urbana,Vivienda,Madrid ,2021,1,,,,,,,,,,,,,,,,,
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,cantidad pagada por irpf,,,,,27532,,,,,,,,,,,,,,,,,,,,,,
ALFONSO RODRIGUEZ GÓMEZ DE CELIS,AlfonsoRodriguezGómezDeCelis,ALFONSO RODRIGUEZ GÓMEZ DE CELIS,,deposits,,,,,,,,,,,"Cuentas corrientes, fondos de inversión, planes de pensiones",932,932,,,,,,,,,,,,,,
