unique_id,full_name,first_name,last_name,political_group,political_group_IW,gender,congress_page
Joséluisábalosmeco,José Luis Ábalos Meco, José Luis  ,Ábalos Meco,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=267&idLegislatura=14
Santiagoabascalconde,Santiago  Abascal Conde, Santiago  ,Abascal Conde,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=43&idLegislatura=14
JoséLuisacevesgalindo,José Luis  Aceves Galindo, José Luis  ,Aceves Galindo,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=56&idLegislatura=14
Josebaandoniagirretxeaurresti,Joseba Andoni  Agirretxea Urresti, Joseba Andoni  ,Agirretxea Urresti,GPV (EAJ-PNV),GP. Vasco (EAJ-PNV),M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=99&idLegislatura=14
Juanjoséaizcorbetorra,Juan José  Aizcorbe Torra, Juan José  ,Aizcorbe Torra,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=151&idLegislatura=14
Mertxeaizpuruaarzallus,Mertxe  Aizpurua Arzallus, Mertxe  ,Aizpurua Arzallus,GPEHB,GP. Euskal Herria Bildu,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=69&idLegislatura=14
Franciscojoséalcarazmartos,Francisco José  Alcaraz Martos, Francisco José  ,Alcaraz Martos,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=252&idLegislatura=14
Javieralfonsocendón,Javier  Alfonso Cendón, Javier  ,Alfonso Cendón,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=103&idLegislatura=14
Agustínalmodóbarbarceló,Agustín  Almodóbar Barceló, Agustín  ,Almodóbar Barceló,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=305&idLegislatura=14
Joséángelalonsopérez,José Ángel  Alonso Pérez, José Ángel  ,Alonso Pérez,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=244&idLegislatura=14
Maríaolgaalonsosuárez,María Olga  Alonso Suárez, María Olga  ,Alonso Suárez,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=72&idLegislatura=14
Jaumealonso-Cuevillasisayrol,Jaume  Alonso-Cuevillas I Sayrol, Jaume  ,Alonso-Cuevillas i Sayrol,GPPlu ,GP. Plural,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=26&idLegislatura=14
Cayetanaalvarezdetoledoperalta-Ramos,Cayetana  Álvarez De Toledo Peralta-Ramos, Cayetana  ,Álvarez de Toledo Peralta-Ramos,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=308&idLegislatura=14
Beatrizisabelálvarezfanjul,Beatriz  Álvarez Fanjul, Beatriz  ,Álvarez Fanjul,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=101&idLegislatura=14
Carmenandresañon,Carmen  Andrés Añón, Carmen  ,Andrés Añón,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=204&idLegislatura=14
Josefaandrésbarea,Josefa  Andrés Barea, Josefa  ,Andrés Barea,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=66&idLegislatura=14
Omaranguitapérez,Omar  Anguita Pérez, Omar  ,Anguita Pérez,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=354&idLegislatura=14
Maríateresaanguloromero,María Teresa  Angulo Romero, María Teresa  ,Angulo Romero,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=113&idLegislatura=14
Javierantóncacho,Javier  Antón Cacho, Javier  ,Antón Cacho,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=100&idLegislatura=14
Carlosaragonésmendiguchía,Carlos  Aragonés Mendiguchía, Carlos  ,Aragonés Mendiguchía,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=232&idLegislatura=14
Franciscoarandavargas,Francisco  Aranda Vargas, Francisco  ,Aranda Vargas,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=198&idLegislatura=14
Gemmaaraujomorales,Gemma  Araujo Morales, Gemma  ,Araujo Morales,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=364&idLegislatura=14
Manuelarribasmaroto,Manuel  Arribas Maroto, Manuel  ,Arribas Maroto,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=369&idLegislatura=14
Inésarrimadasgarcía,Inés  Arrimadas García, Inés  ,Arrimadas García,GPCs ,GP. Ciudadanos,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=331&idLegislatura=14
Albertoasartacuevas,Alberto  Asarta Cuevas, Alberto  ,Asarta Cuevas,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=129&idLegislatura=14
Jaumeasensllodrà,Jaume  Asens Llodrà, Jaume  ,Asens Llodrà,GPCUP-CP-GC,GP. Confederal De Unidas Podemos-En Comú Podem-Galicia En Común,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=291&idLegislatura=14
Lázaroazorínsalar,Lázaro  Azorín Salar, Lázaro  ,Azorín Salar,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=371&idLegislatura=14
Edmundobalfrancés,Edmundo  Bal Francés, Edmundo  ,Bal Francés,GPCs ,GP. Ciudadanos,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=211&idLegislatura=14
Joanbaldovíroda,Joan  Baldoví Roda, Joan  ,Baldoví Roda,GPPlu ,GP. Plural,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=247&idLegislatura=14
Carmenbañosruiz,Carmen  Baños Ruiz, Carmen  ,Baños Ruiz,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=365&idLegislatura=14
