unique_id,full_name,electoral_district,category_declaration,income_category,income_description,income_value,income_value_clean,taxes_value,,property_category,property_description,property_location,property_date,property_legal,deposits_description,deposits_value,deposits_value_clean,other_financial_category,other_financial_description,other_financial_euros,other_financial_clean,vehicles_date,vehicles_description,other_nocat_description,other_nocat_value,debt_institution,debt_date,debt_amount,debt_amount_remain,debt_other,comments
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,VALENCIA,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación","Retribución como Ministro de Transportes, Movilidad y Agenda Urbana","47866,68",47866.68,,,,,,,,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,rentas,Otras rentas o percepciones de cualquier clase,Arrendamiento bajocomercial,7344,7344,,,,,,,,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,rentas,Otras rentas o percepciones de cualquier clase,Arrendamiento vivienda,"11400,00",11400,,,,,,,,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,cantidad pagada por irpf,,,,,20437.29,,,,,,,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA,VALENCIA,1987,PLENO DOMINIO COMPRA-VENTA,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,LOCAL COMERCIAL,VALENCIA,1993,PLENO DOMINIO COMPRA-VENTA,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,LOCAL COMERCIAL,VALENCIA,2003,MITAD EN PLENO DOMINIO COMPRA-VENTA,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,VIVIENDA UNIFAMILIAR,VALENCIA,2008,USUFRUCTO COMPRA-VENTA,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,bienes patrimoniales,,,,,,,Bienes Inmuebles de naturaleza urbana,"VIVIENDA 37,5 m2",MADRID,2010,MITAD EN PLENO DOMINIO COMPRA-VENTA,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,bienes patrimoniales,,,,,,,Bienes inmuebles de naturaleza urbana,Local Comercial,Valencia,2020,Mitad en pleno dominio compraventa,,,,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,depositos,,,,,,,,,,,,2 CUENTAS CORRIENTES,"14544,00",14544.00,,,,,,,,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,vehículos,,,,,,,,,,,,,,,,,,,2013,"VEHíCULO TOYOTA RAV4 DE 2"" MANO MATRICULADO EN 2003 ",,,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,otros,,,,,,,,,,,,,,,,,,,,,PLANES DE PENSIONES,30935,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,otros,,,,,,,,,,,,,,,,,,,,,SEGURO DE VIDA,63502,,,,,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,deudas,,,,,,,,,,,,,,,,,,,,,,,BANKIA (CRÉDITO HIPOTECARIO),37690,"67,500.00",7812.00,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,deudas,,,,,,,,,,,,,,,,,,,,,,,BANKIA (CRÉDITO HIPOTECARIO),39636,"175,000.00",112855.00,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,deudas,,,,,,,,,,,,,,,,,,,,,,,BANKIA (CRÉDITO HIPOTECARIO),42018,"100,000.00",61278.00,,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,deudas,,,,,,,,,,,,,,,,,,,,,,,,,,,PENSIÓN ALIMENTARIA POR HIJO 7788 ANUALES,
Joséluisábalosmeco,JOSÉ LUIS ÁBALOS MECO,,deudas,,,,,,,,,,,,,,,,,,,,,,,BANKIA,44020,24196.5,24196.50,,
Joanmiquelmenaarca,JOAN MIQUEL MENA ARCA,BARCELONA,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",RETRIBUCIONES DIPUTADO,50611.47,50611.47,,,,,,,,,,,,,,,,,,,,,,,,
Joanmiquelmenaarca,JOAN MIQUEL MENA ARCA,,cantidad pagada por irpf,,,,,9923.55,,,,,,,,,,,,,,,,,,,,,,,
Joanmiquelmenaarca,JOAN MIQUEL MENA ARCA,,depositos,,,,,,,,,,,,,"21,098.88 €",21098.88,,,,,,,,,,,,,,
Joanmiquelmenaarca,JOAN MIQUEL MENA ARCA,,deudas,,,,,,,,,,,,,,,,,,,,,,,CRÉDITO HIPOTECARIO,2007,"199,000.00",148925.50,,
Maríadelmargarcíapuig,MARÍA DEL MAR GARCIA PUIG,BARCELONA,rentas,"Percepciones netas de tipo salarial, sueldos, honorarios, aranceles y otras retribuciones, cualquiera que sea su denominación",ÚLTIMAS 12 NÓMINAS COMO DIPUTADA,72041.45,72041.45,,,,,,,,,,,,,,,,,,,,,,,,
Maríadelmargarcíapuig,MARÍA DEL MAR GARCIA PUIG,,cantidad pagada por irpf,,,,,13462.45,,,,,,,,,,,,,,,,,,,,,,,
