unique_id,full_name,first_name,last_name,party,political_group,political_group_IW,gender,congress_page
Adolfopérezabellás,Adolfo  Pérez Abellás, Adolfo  ,Pérez Abellás,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=33&idLegislatura=14
Adrianalastrafernández,Adriana  Lastra Fernández, Adriana  ,Lastra Fernández,PSOE,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=109&idLegislatura=14
Agustínalmodóbarbarceló,Agustín  Almodóbar Barceló, Agustín  ,Almodóbar Barceló,PP,GPP ,GP. Popular en el congreso,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=305&idLegislatura=14
Agustínrosetyfernándezdecastro,Agustín  Rosety Fernández De Castro, Agustín  ,Rosety Fernández de Castro,VOX,GPVOX ,GP. VOX,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=255&idLegislatura=14
Agustínzamarrónmoreno,Agustín  Zamarrón Moreno, Agustín  ,Zamarrón Moreno,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=19&idLegislatura=14
Alejandrosolermur,Alejandro  Soler Mur, Alejandro  ,Soler Mur,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=144&idLegislatura=14
Alfonsorodríguezgómezdecelis,Alfonso  Rodríguez Gómez De Celis, Alfonso  ,Rodríguez Gómez de Celis,ECP-GUAYEM EL CANVI/GCPU-EC-GC,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=168&idLegislatura=14
Alfonsorodríguezgómezdecelis,Alfonso  Rodríguez Gómez De Celis, Alfonso  ,Rodríguez Gómez de Celis,ECP-GUAYEM EL CANVI/GCPU-EC-GC,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=168&idLegislatura=14
Alfredosanchoguardia,Alfredo  Sancho Guardia, Alfredo  ,Sancho Guardia,PSOE,GPS ,GP. Socialista,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=312&idLegislatura=14
Aliciagarcíarodríguez,Alicia  García Rodríguez, Alicia  ,García Rodríguez,PP,GPP ,GP. Popular en el congreso,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=50&idLegislatura=14
Anabelénfernándezcasero,Ana Belén  Fernández Casero, Ana Belén  ,Fernández Casero,EAJ-PNV,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=230&idLegislatura=14
Anabelénfernándezcasero,Ana Belén  Fernández Casero, Ana Belén  ,Fernández Casero,EAJ-PNV,GPS ,GP. Socialista,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=230&idLegislatura=14
