unique_id,full_name,first_name,last_name,political_group,gender,congress_page
JoséLuisÁbalosMeco,José Luis Ábalos Meco, José Luis  ,Ábalos Meco,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=267&idLegislatura=14
SantiagoAbascalConde,Santiago  Abascal Conde, Santiago  ,Abascal Conde,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=43&idLegislatura=14
JoséLuisAcevesGalindo,José Luis  Aceves Galindo, José Luis  ,Aceves Galindo,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=56&idLegislatura=14
JosebaAndoniAgirretxeaUrresti,Joseba Andoni  Agirretxea Urresti, Joseba Andoni  ,Agirretxea Urresti,GV  EAJ-PNV,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=99&idLegislatura=14
JuanJoséAizcorbeTorra,Juan José  Aizcorbe Torra, Juan José  ,Aizcorbe Torra,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=151&idLegislatura=14
MertxeAizpuruaArzallus,Mertxe  Aizpurua Arzallus, Mertxe  ,Aizpurua Arzallus,GEH Bildu ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=69&idLegislatura=14
FranciscoJoséAlcarazMartos,Francisco José  Alcaraz Martos, Francisco José  ,Alcaraz Martos,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=252&idLegislatura=14
JavierAlfonsoCendón,Javier  Alfonso Cendón, Javier  ,Alfonso Cendón,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=103&idLegislatura=14
AgustínAlmodóbarBarceló,Agustín  Almodóbar Barceló, Agustín  ,Almodóbar Barceló,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=305&idLegislatura=14
JoséÁngelAlonsoPérez,José Ángel  Alonso Pérez, José Ángel  ,Alonso Pérez,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=244&idLegislatura=14
MaríaOlgaAlonsoSuárez,María Olga  Alonso Suárez, María Olga  ,Alonso Suárez,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=72&idLegislatura=14
JaumeAlonso-CuevillasiSayrol,Jaume  Alonso-Cuevillas I Sayrol, Jaume  ,Alonso-Cuevillas i Sayrol,GPlu ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=26&idLegislatura=14
CayetanaÁlvarezdeToledoPeralta-Ramos,Cayetana  Álvarez De Toledo Peralta-Ramos, Cayetana  ,Álvarez de Toledo Peralta-Ramos,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=308&idLegislatura=14
BeatrizÁlvarezFanjul,Beatriz  Álvarez Fanjul, Beatriz  ,Álvarez Fanjul,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=101&idLegislatura=14
CarmenAndrésAñón,Carmen  Andrés Añón, Carmen  ,Andrés Añón,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=204&idLegislatura=14
JosefaAndrésBarea,Josefa  Andrés Barea, Josefa  ,Andrés Barea,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=66&idLegislatura=14
OmarAnguitaPérez,Omar  Anguita Pérez, Omar  ,Anguita Pérez,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=354&idLegislatura=14
MaríaTeresaAnguloRomero,María Teresa  Angulo Romero, María Teresa  ,Angulo Romero,GP ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=113&idLegislatura=14
JavierAntónCacho,Javier  Antón Cacho, Javier  ,Antón Cacho,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=100&idLegislatura=14
CarlosAragonésMendiguchía,Carlos  Aragonés Mendiguchía, Carlos  ,Aragonés Mendiguchía,GP ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=232&idLegislatura=14
FranciscoArandaVargas,Francisco  Aranda Vargas, Francisco  ,Aranda Vargas,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=198&idLegislatura=14
GemmaAraujoMorales,Gemma  Araujo Morales, Gemma  ,Araujo Morales,GS ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=364&idLegislatura=14
ManuelArribasMaroto,Manuel  Arribas Maroto, Manuel  ,Arribas Maroto,GS ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=369&idLegislatura=14
InésArrimadasGarcía,Inés  Arrimadas García, Inés  ,Arrimadas García,GCs ,F,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=331&idLegislatura=14
Alberto  AsartaCuevas,Alberto  Asarta Cuevas, Alberto  ,Asarta Cuevas,GVOX ,M,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=129&idLegislatura=14
