name,type,value
MICAELA NAVARRO GARZÓN,rentas,4200.00
MICAELA NAVARRO GARZÓN,rentas,145.00
MICAELA NAVARRO GARZÓN,deudas,67500.00
MICAELA NAVARRO GARZÓN,deudas,25300.00
MICAELA NAVARRO GARZÓN,deudas,
MICAELA NAVARRO GARZÓN,depositos,107120.00
FRANCISCO JAVIER ARENAS BOCANEGRA,rentas,513.00
FRANCISCO JAVIER ARENAS BOCANEGRA,deudas,64901.02
FRANCISCO JAVIER ARENAS BOCANEGRA,deudas,
FRANCISCO JAVIER ARENAS BOCANEGRA,depositos,25000.00
MARÍA JESÚS CASTRO MATEOS,rentas,9485.84
MARÍA JESÚS CASTRO MATEOS,rentas,26992.00
MARÍA JESÚS CASTRO MATEOS,deudas,107301.00
MARÍA JESÚS CASTRO MATEOS,deudas,15000.00
MARÍA JESÚS CASTRO MATEOS,deudas,
MARÍA JESÚS CASTRO MATEOS,depositos,24272.00
SANTIAGO PÉREZ GARCÍA,rentas,40000.00
SANTIAGO PÉREZ GARCÍA,rentas,10000.00
SANTIAGO PÉREZ GARCÍA,rentas,42000.00
SANTIAGO PÉREZ GARCÍA,deudas,
SANTIAGO PÉREZ GARCÍA,depositos,9451.00
PÍO GARCÍA-ESCUDERO MÁRQUEZ,rentas,5853.20
PÍO GARCÍA-ESCUDERO MÁRQUEZ,rentas,419.44
PÍO GARCÍA-ESCUDERO MÁRQUEZ,rentas,103.74
PÍO GARCÍA-ESCUDERO MÁRQUEZ,rentas,32095.00
PÍO GARCÍA-ESCUDERO MÁRQUEZ,deudas,
PÍO GARCÍA-ESCUDERO MÁRQUEZ,depositos,409059.48
RAFAEL ANTONIO HERNANDO FRAILE,rentas,36276.91
RAFAEL ANTONIO HERNANDO FRAILE,deudas,84243.61
RAFAEL ANTONIO HERNANDO FRAILE,deudas,
RAFAEL ANTONIO HERNANDO FRAILE,depositos,56378.00
JOAN LERMA BLASCO,rentas,2044.68
JOAN LERMA BLASCO,deudas,
JOAN LERMA BLASCO,depositos,442752.00
CARLOS JAVIER FLORIANO CORRALES,rentas,4721.41
CARLOS JAVIER FLORIANO CORRALES,rentas,15911.64
CARLOS JAVIER FLORIANO CORRALES,rentas,22.77
CARLOS JAVIER FLORIANO CORRALES,deudas,85039.53
CARLOS JAVIER FLORIANO CORRALES,deudas,
CARLOS JAVIER FLORIANO CORRALES,depositos,58089.82
JOKIN BILDARRATZ SORRON,rentas,24717.58
JOKIN BILDARRATZ SORRON,deudas,94160.38
JOKIN BILDARRATZ SORRON,deudas,105664.08
JOKIN BILDARRATZ SORRON,deudas,
JOKIN BILDARRATZ SORRON,depositos,477105.92
JUAN JOSÉ IMBRODA ORTIZ,rentas,10540.00
JUAN JOSÉ IMBRODA ORTIZ,deudas,237000.00
JUAN JOSÉ IMBRODA ORTIZ,deudas,11400.00
JUAN JOSÉ IMBRODA ORTIZ,deudas,4000.00
JUAN JOSÉ IMBRODA ORTIZ,deudas,
JUAN JOSÉ IMBRODA ORTIZ,depositos,54000.00
ANTONIO ROMÁN JASANADA,rentas,49832.83
ANTONIO ROMÁN JASANADA,rentas,328.74
ANTONIO ROMÁN JASANADA,rentas,44.10
ANTONIO ROMÁN JASANADA,rentas,225.97
ANTONIO ROMÁN JASANADA,rentas,19047.26
ANTONIO ROMÁN JASANADA,deudas,70234.00
ANTONIO ROMÁN JASANADA,deudas,
ANTONIO ROMÁN JASANADA,depositos,162798.01
ANTONIO SERRANO AGUILAR,rentas,3138.24
ANTONIO SERRANO AGUILAR,rentas,190.17
ANTONIO SERRANO AGUILAR,deudas,
ANTONIO SERRANO AGUILAR,depositos,91311.01
MANUEL BLASCO MARQUÉS,rentas,
MANUEL BLASCO MARQUÉS,deudas,16127.00
