,Gender,Group,GroupAbbr,Id,Legis,Link,LinkBienesPdf,Name
0,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18218,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18218,https://www.senado.es/legis14/senadores/regbi/DBR_934.pdf,"ABASCAL JIMÉNEZ, PATRICIA"
1,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17160,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17160,https://www.senado.es/legis14/senadores/regbi/DBR_1039.pdf,"ACEDO REYES, SOFÍA"
2,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19385,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19385,https://www.senado.es/legis14/senadores/regbi/DBR_143953.pdf,"ADRADOS GAUTIER, MARÍA PALOMA"
3,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18248,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18248,https://www.senado.es/legis14/senadores/regbi/DBR_585.pdf,"ADRIO TARACIDO, MARÍA MARGARITA PEREGRINA"
4,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18305,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18305,https://www.senado.es/legis14/senadores/regbi/DBR_325.pdf,"AGUDÍEZ CALVO, ANA MARÍA"
5,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18785,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18785,https://www.senado.es/legis14/senadores/regbi/DBR_273.pdf,"AGUDO ALONSO, CAROLINA"
6,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18217,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18217,https://www.senado.es/legis14/senadores/regbi/DBR_919.pdf,"AGUILAR ROMÁN, JOSÉ AURELIO"
7,M,GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV),GPV,17027,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17027,https://www.senado.es/legis14/senadores/regbi/DBR_751.pdf,"AHEDO CEZA, NEREA"
8,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,14170,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=14170,https://www.senado.es/legis14/senadores/regbi/DBR_305.pdf,"ALARCÓ HERNÁNDEZ, ANTONIO"
9,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,16999,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=16999,https://www.senado.es/legis14/senadores/regbi/DBR_163807.pdf,"ALDEA GÓMEZ, ROSA MARÍA"
10,V,GRUPO PARLAMENTARIO MIXTO,GPMX,17325,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17325,https://www.senado.es/legis14/senadores/regbi/DBR_182.pdf,"ALEGRE BUXEDA, FRANCISCO JAVIER"
11,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19050,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19050,https://www.senado.es/legis14/senadores/regbi/DBR_859.pdf,"ALÍA AGUADO, MARÍA PILAR"
12,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,17356,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17356,https://www.senado.es/legis14/senadores/regbi/DBR_160454.pdf,"ALONSO JIMÉNEZ, JESÚS MANUEL"
13,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19785,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19785,https://www.senado.es/legis14/senadores/regbi/DBR_151174.pdf,"ALONSO SAHAGÚN, PALOMA"
14,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18087,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18087,https://www.senado.es/legis14/senadores/regbi/DBR_81055.pdf,"ALÓS LÓPEZ, ANA ISABEL"
15,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19185,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19185,https://www.senado.es/legis14/senadores/regbi/DBR_1181.pdf,"ÁLVAREZ GONZÁLEZ, MARÍA JESÚS"
16,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19790,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19790,https://www.senado.es/legis14/senadores/regbi/DBR_155147.pdf,"ÁLVAREZ SOMOANO, MARÍA VICTORIA"
17,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18905,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18905,https://www.senado.es/legis14/senadores/regbi/DBR_1118.pdf,"ANTONA GÓMEZ, ASIER"
18,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18215,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18215,https://www.senado.es/legis14/senadores/regbi/DBR_165958.pdf,"ARAGÓN ARIZA, FRANCISCO JAVIER"
19,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19046,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19046,https://www.senado.es/legis14/senadores/regbi/DBR_746.pdf,"ARANDA LASSA, JOSÉ MANUEL"
20,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,10154,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=10154,https://www.senado.es/legis14/senadores/regbi/DBR_153549.pdf,"ARENAS BOCANEGRA, FRANCISCO JAVIER"
21,V,GRUPO PARLAMENTARIO MIXTO,GPMX,18545,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18545,https://www.senado.es/legis14/senadores/regbi/DBR_292.pdf,"ARGÜESO TORRES, EMILIO"
22,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18213,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18213,https://www.senado.es/legis14/senadores/regbi/DBR_142909.pdf,"ARNÁIZ GARCÍA, MARÍA DEL MAR"
23,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18088,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18088,https://www.senado.es/legis14/senadores/regbi/DBR_1036.pdf,"ARRIBA SÁNCHEZ, BIENVENIDO DE"
24,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,18089,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18089,https://www.senado.es/legis14/senadores/regbi/DBR_764.pdf,"ARZA RODRÍGUEZ, ROSA MARÍA"
25,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18286,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18286,https://www.senado.es/legis14/senadores/regbi/DBR_295.pdf,"ASENSI SABATER, JOSÉ"
26,V,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,17105,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17105,https://www.senado.es/legis14/senadores/regbi/DBR_1055.pdf,"AUBÀ FLEIX, MIGUEL JOSÉ"
27,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17039,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17039,https://www.senado.es/legis14/senadores/regbi/DBR_444.pdf,"AYALA SANTAMARÍA, CRISTINA"
28,M,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19793,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19793,,"AZORÍN MARCO, MÓNICA"
29,M,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,18125,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18125,https://www.senado.es/legis14/senadores/regbi/DBR_174963.pdf,"BAILAC ARDANUY, SARA"
30,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,14087,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=14087,https://www.senado.es/legis14/senadores/regbi/DBR_396.pdf,"BARREIRO FERNÁNDEZ, JOSÉ MANUEL"
31,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19057,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19057,https://www.senado.es/legis14/senadores/regbi/DBR_431.pdf,"BARRIOS TEJERO, JOSÉ MARÍA"
32,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,19345,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19345,https://www.senado.es/legis14/senadores/regbi/DBR_167288.pdf,"BAUTISTA CARBALLO, MIGUEL"
33,M,GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV),GPV,19365,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19365,https://www.senado.es/legis14/senadores/regbi/DBR_54280.pdf,"BELTRÁN DE HEREDIA ARRONIZ, ESTEFANÍA"
34,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,19786,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=19786,https://www.senado.es/legis14/senadores/regbi/DBR_174442.pdf,"BENDODO BENASAYAG, ELÍAS"
35,M,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18287,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18287,https://www.senado.es/legis14/senadores/regbi/DBR_160582.pdf,"BERENGUER LLORENS, MARÍA MERCEDES"
36,V,GRUPO PARLAMENTARIO POPULAR EN EL SENADO,GPP,17765,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=17765,https://www.senado.es/legis14/senadores/regbi/DBR_110628.pdf,"BERNABÉ PÉREZ, FRANCISCO MARTÍN"
37,M,GRUPO PARLAMENTARIO ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,GPERB,18505,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18505,https://www.senado.es/legis14/senadores/regbi/DBR_55045.pdf,"BIDEGUREN GABANTXO, IDURRE"
38,V,GRUPO PARLAMENTARIO VASCO EN EL SENADO (EAJ-PNV),GPV,12744,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=12744,https://www.senado.es/legis14/senadores/regbi/DBR_329.pdf,"BILDARRATZ SORRON, JOKIN"
39,V,GRUPO PARLAMENTARIO SOCIALISTA,GPS,18210,14,https://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=14&id1=18210,https://www.senado.es/legis14/senadores/regbi/DBR_142645.pdf,"BLANCO ÁNGEL, FRANCISCO ANTONIO"
