Name,Gender,Group,Link
ADELINA ESCANDELL GRASES,F,GP. ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=19205&legis=14&id2=g
ALBERTO CATALÁN HIGUERAS,M,GP. MIXTO,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18073&legis=14&id2=g
ALBERTO FABRA PART,M,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=16746&legis=14&id2=g
ALEJANDRO JOSÉ ZUBELDIA SANTOYO,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18312&legis=14&id2=g
ALFONSO CARLOS MOSCOSO GONZÁLEZ,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18311&legis=14&id2=g
ALFONSO ESCUDERO ORTEGA,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18289&legis=14&id2=g
ALFONSO MUÑOZ CUENCA,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18239&legis=14&id2=g
ALMUDENA OTAOLA URQUIJO,F,GP. VASCO,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18070&legis=14&id2=g
AMARO HUELVA BETANZOS,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=16969&legis=14&id2=g
AMAYA LANDÍN DÍAZ DE CORCUERA,F,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=19047&legis=14&id2=g
AMELIA SALANUEVA MURGUIALDAY,F,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=12936&legis=14&id2=g
ANA BELÉN EDO GIL,F,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18385&legis=14&id2=g
ANA CAMINS MARTÍNEZ,F,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18625&legis=14&id2=g
ANA ISABEL ALÓS LÓPEZ,F,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18087&legis=14&id2=g
ANA ISABEL VILLAR LECHÓN,F,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18220&legis=14&id2=g
ANA LOURDES GONZÁLEZ GARCÍA,F,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=15505&legis=14&id2=g
ANA MARÍA AGUDÍEZ CALVO,F,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18305&legis=14&id2=g
ANA MARIA SURRA SPADEA,F,GP. ESQUERRA REPUBLICANA-EUSKAL HERRIA BILDU,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18128&legis=14&id2=g
ANA MARTÍNEZ ZARAGOZA,F,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18297&legis=14&id2=g
ANDER GIL GARCÍA,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=15307&legis=14&id2=g
ANTONIO ALARCÓ HERNÁNDEZ,M,GP. POPULAR,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=14170&legis=14&id2=g
ANTONIO ARMANDO FERRER SAIS,M,GP. SOCIALISTA,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?id1=18346&legis=14&id2=g
